Y2.73.A,Y2.74.A,Y2.75.A,Y2.76.A,Y2.77.A,Y2.78.A,Y2.79.A,Y2.80.A,Y2.81.A,Y2.82.A,Y2.83.A,Y2.84.A,Y2.85.A,Y2.86.A,Y2.87.A,Y2.88.A,Y2.89.A,Y2.90.A,Y2.91.A,Y2.92.A,Y2.93.A,Y2.94.A,Y2.95.A,Y2.96.A,Y2.97.A,Y2.98.A,Y2.99.A,Y2.100.A,Y2.101.A,Y2.102.A,Y2.103.A,Y2.104.A,Y2.105.A,Y2.106.A,Y2.107.A,Y2.108.A,Y2.109.A,Y2.110.A,Y2.111.A,Y2.112.A,Y2.113.A,Y2.114.A,Y2.115.A,Y2.116.A,Y2.117.A,Y2.118.A
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,5,5,3,4,5,4,3,4,4,3,4,4,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,2,1,2,2,2,3,2,2,2,3,2,2,2,2,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,2,3,4,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,2,3,2,1,3,1,3,1,3,2,2,1,3,2
3,3,3,3,3,3,3,3,3,2,1,2,2,1,3,2,1,3,2,1,3,2,2,2,1,3,2,2,1,3,1,1,3,2,2,2,2,2,1,2,1,3,2,2,1,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,2,3,3,3,2,1,1,3,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3
3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,3,2,4,3,3,3,3,2
2,2,2,2,2,2,2,2,2,2,4,2,2,1,2,2,3,3,2,2,3,2,2,1,2,2,3,3,2,3,3,3,1,2,2,2,2,2,2,2,3,2,2,3,2,2
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,3,3,3,3,3,2,2,3,2,3,1,3,1,2,1,2
2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,1,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,4,3,2,3,3,3,1,3,1,3,3
2,2,1,3,1,3,2,2,3,2,2,2,3,1,3,2,1,2,2,3,3,3,3,3,2,3,3,1,3,2,2,2,2,1,3,2,3,3,2,1,2,3,3,1,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,2,1,1,1,1,1,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,1,1,1,1,1,1,1,1,2,3,3,3,2
3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1,3,2,2,2,1,3,1,3,1,3,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2
2,1,3,1,2,2,1,3,1,2,2,2,2,2,3,2,1,2,2,1,2,2,1,2,2,2,3,2,2,2,3,2,2,1,2,3,2,2,3,3,1,3,3,3,2,3
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,3,3,1,2,3,3,3,3,3,2,2,2,3,2,1,2,2,2
2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,3,1,1,1,1,1
2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2
1,1,1,1,1,2,2,1,3,2,2,3,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2,2,3,1,2,2,2,3,1,2,3,2,1,2,1,2,2
2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,1,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,4,3,2,3,3,3,1,3,1,3,3
2,2,1,3,1,3,2,2,3,2,2,2,3,1,3,2,1,2,2,3,3,3,3,3,2,3,3,1,3,2,2,2,2,1,3,2,3,3,2,1,2,3,3,1,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,2,1,1,1,1,1,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,1,1,1,1,1,1,1,1,2,3,3,3,2
3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1,3,2,2,2,1,3,1,3,1,3,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2
2,1,3,1,2,2,1,3,1,2,2,2,2,2,3,2,1,2,2,1,2,2,1,2,2,2,3,2,2,2,3,2,2,1,2,3,2,2,3,3,1,3,3,3,2,3
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,3,3,1,2,3,3,3,3,3,2,2,2,3,2,1,2,2,2
2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,3,1,1,1,1,1
2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2
1,1,1,1,1,2,2,1,3,2,2,3,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2,2,3,1,2,2,2,3,1,2,3,2,1,2,1,2,2
2,2,2,2,2,4,1,3,1,2,3,2,1,2,3,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,3,3,3,3,3,3,3,3,3,3,2,4,3,2,3,4,5,4,5,4,5,4,3,3,5,5,5,5,3,2,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,5,5,5,4,4,3,3,3,3,3,3,3,2,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,4,4,4,4,4`,3,3,3,3,4,2,2,2,2,3,5,2,5,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
4,4,3,5,4,3,3,3,3,4,4,5,5,3,3,3,4,3,4,3,2,2,3,3,3,3,3,3,2,4,2,4,2,3,2,3,2,2,3,4,3,4,4,4,4,3
2,4,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,2,3,3,1,2,2,2,2,2,2,2,3,3,3,2,2,3
3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,1,2,2,3,2,2,2,2,2,2,3,2,2,1,2
2,2,2,2,2,2,2,2,2,3,3,1,3,2,2,3,2,2,3,2,3,2,3,3,2,2,2,3,2,2,2,2,1,3,1,1,3,2,2,3,2,1,3,1,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,1,1,1,1,3,3,1,1,1,1,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1
2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,2,4,3,2,3,4,3,2,3,3,2,4,2
3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,2,1,3,3,3,3,2,3,3,1,4,3,2,2,2,2,1,3,3,3,3,3,2,3,1,1,3,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,1,2,2,2,3,2,2
3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,2,3,3,1,2,2,2,2,2,2,2,3,3,3,2,2,3,2,3,2,2,3,3,2,1,3,2,1,2,2
3,3,2,2,2,1,3,1,3,3,1,3,3,2,3,2,3,3,2,3,3,2,2,2,3,3,3,2,3,1,3,1,3,2,2,3,1,2,3,3,3,2,2,1,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,3,3,3,3,3,2,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,2,1,2,2,2,2,2,2,2,2,3,3,3,3,1
3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,3,2,1,3,1,3,2,2,2,2,2,1,3,1,3,3,2,1,3,2,2,1,1,2,2,2,2,2,2,2
3,2,2,2,3,1,2,3,1,2,2,2,2,2,2,1,2,3,1,2,3,1,1,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,1,1,2,2,3,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,3,2,2,3,2,2,2,2,3,3,3,3,3,2,1,2,2,2,1,2,3,2,2
2,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,3,3,3,2,2,3,2,2,2,2,2,2
2,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3
2,2,2,1,2,3,1,2,3,1,2,2,2,2,1,2,3,1,2,2,3,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2
3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,2,3,3,1,2,2,2,2,2,2,2,3,3,3,2,2,3,2,3,2,2,3,3,2,1,3,2,1,2,2
3,3,2,2,2,1,3,1,3,3,1,3,3,2,3,2,3,3,2,3,3,2,2,2,3,3,3,2,3,1,3,1,3,2,2,3,1,2,3,3,3,2,2,1,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,2,3,3,1,2,2,2,2,2,2,2,3,3,3,2,2,3,2,3,2,2,3,3,2,1,3,2,1,2,2
3,3,2,2,2,1,3,1,3,3,1,3,3,2,3,2,3,3,2,3,3,2,2,2,3,3,3,2,3,1,3,1,3,2,2,3,1,2,3,3,3,2,2,1,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,3,3,3,3,3,2,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,2,1,2,2,2,2,2,2,2,2,3,3,3,3,1
3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,3,2,1,3,1,3,2,2,2,2,2,1,3,1,3,3,2,1,3,2,2,1,1,2,2,2,2,2,2,2
3,2,2,2,3,1,2,3,1,2,2,2,2,2,2,1,2,3,1,2,3,1,1,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,1,1,2,2,3,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,3,2,2,3,2,2,2,2,3,3,3,3,3,2,1,2,2,2,1,2,3,2,2
2,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,3,3,3,2,2,3,2,2,2,2,2,2
2,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3
2,2,2,1,2,3,1,2,3,1,2,2,2,2,1,2,3,1,2,2,3,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2
3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,2,3,3,1,2,2,2,2,2,2,2,3,3,3,2,2,3,2,3,2,2,3,3,2,1,3,2,1,2,2
3,3,2,2,2,1,3,1,3,3,1,3,3,2,3,2,3,3,2,3,3,2,2,2,3,3,3,2,3,1,3,1,3,2,2,3,1,2,3,3,3,2,2,1,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,3,3,3,3,3,2,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,2,1,2,2,2,2,2,2,2,2,3,3,3,3,1
3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,3,2,1,3,1,3,2,2,2,2,2,1,3,1,3,3,2,1,3,2,2,1,1,2,2,2,2,2,2,2
3,2,2,2,3,1,2,3,1,2,2,2,2,2,2,1,2,3,1,2,3,1,1,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,1,1,2,2,3,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,3,2,2,3,2,2,2,2,3,3,3,3,3,2,1,2,2,2,1,2,3,2,2
2,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,3,3,3,2,2,3,2,2,2,2,2,2
2,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3
2,2,2,1,2,3,1,2,3,1,2,2,2,2,1,2,3,1,2,2,3,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2
3,3,3,3,3,2,3,2,2,2,1,3,1,2,2,1,3,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,3,3,2,1,1,1,1,1,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,1,1,1,1,1,1,1,1,2,3,3,3,2,2
2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,3,3,2,3,2,2,2,2,1,1,1,1,2
4,3,2,3,1,3,3,3,5,3,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,3,3,3,4,4,3,3,4,3,4,3,4,3,4,5,3,4,4
3,3,4,3,4,4,3,1,3,2,3,2,2,3,3,3,2,3,2,3,3,3,2,2,2,2,3,3,3,2,1,3,3,3,2,3,2,3,3,4,2,3,2,3,1,3
2,4,3,3,2,3,4,4,2,3,3,2,3,2,3,2,3,2,3,3,2,2,3,2,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,2,3,2,3
